,Region. subregion. country or area *,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80
3345,Denmark,606.029,675.9480000000001,775.962,672.29,738.207,810.126,654.53,586.1379999999999,272.973
3450,Norway,614.323,643.031,726.383,738.7239999999999,724.9300000000001,712.508,586.156,446.448,228.739
3465,Sweden,1193.951,1127.127,1276.9299999999998,1320.299,1264.123,1296.647,1093.868,994.244,532.081
3480,United Kingdom,8044.056,7642.473,8558.707,9295.024000000001,8604.251,9173.465,7286.777,5830.635,3450.6160000000004
3570,Italy,4994.995,5733.448,6103.436,6998.434,9022.004,9567.192,7484.862,6028.907999999999,4528.549
3675,Spain,4234.487,4736.077,4617.599,5901.993,7938.499,7046.327,5340.654,4015.306,2923.8410000000003
3705,Austria,874.182,876.2080000000001,1115.377,1243.4160000000002,1178.2649999999999,1407.0,1033.3200000000002,790.437,488.19499999999994
3735,France,7527.474,7883.477000000001,7371.029,8011.049999999999,8325.667000000001,8635.057,7764.786,5727.704,4027.268
3750,Germany,7880.904,7930.616,9377.361,10872.02,10243.351,13488.393,10644.142,7471.414,5875.744
3795,Switzerland,884.9449999999999,834.867,1039.729,1219.2240000000002,1166.588,1320.6219999999998,977.435,751.9929999999999,459.21500000000003
2640,Argentina,7446.468,7136.711,6997.584,6441.412,5727.744,4424.94,3528.742,2300.637,1191.539
2670,Brazil,29076.91,31160.446,34104.643,34476.762,29462.006,24421.202,16896.862,8801.551,4159.027
2685,Chile,2428.079,2493.879,2995.538,2945.404,2578.404,2352.271,1791.787,993.126,537.721
2700,Colombia,7414.155,8119.876,8847.061,7810.299,6450.787,5543.98,3771.358,1979.761,945.607
2325,Dominican Republic,1999.348,1935.875,1854.317,1564.382,1274.489,1014.335,682.139,341.5,181.519
2715,Ecuador,3277.73,3115.985,3036.188,2592.839,2088.24,1591.139,1087.738,570.124,283.077
2580,Mexico,22169.253,22350.463,21735.593,18880.03,16547.758,12757.971,8264.953,4188.713,2038.019
2610,Panama,773.779,726.609,678.255,618.595,556.395,432.979,282.632,157.808,87.716
2775,Peru,5445.4,5134.604,5375.785,5231.162,4346.664,3313.879,2276.639,1255.409,592.304
